date,strategy,cost_bps,gross_return,net_return,turnover,wealth,drawdown
2024-09-30,equal_weight,10,0.0064911484526412495,0.006480747326077729,0.010334046732117519,1.3657200728184429,-0.0772260838728156
2024-10-31,equal_weight,10,-0.10950189114099645,-0.10954018939668742,0.04300767773682379,1.216118837379053,-0.17830691341571026
2024-11-30,equal_weight,10,0.11405683146451635,0.11399018513024939,0.05982310092691745,1.3547444487922748,-0.08464196635572108
2024-12-31,equal_weight,10,0.02586694025227715,0.025814339900043226,0.05127404945996278,1.3897162824710954,-0.061012602944992445
2024-01-31,equal_weight,25,0.10756617241821159,0.10479725698716602,1.0,1.104797256987166,0.0
2024-02-29,equal_weight,25,0.08475968178686875,0.08473429660854159,0.009360664395395457,1.1984114754530197,0.0
2024-03-31,equal_weight,25,0.029691097058790798,0.029611431552392764,0.03094734202345717,1.2338981548299988,0.0
2024-04-30,equal_weight,25,0.1356749615801921,0.13550295773319387,0.0605820689253988,1.401095004350994,0.0
2024-05-31,equal_weight,25,0.046616671922036154,0.04641952795385862,0.07534524280624005,1.4661331730714766,0.0
2024-06-30,equal_weight,25,0.00776061815807565,0.007576014393938291,0.07327286294426455,1.4772406190940965,0.0
2024-07-31,equal_weight,25,-0.0144449709521188,-0.014453037283540193,0.003273822844424623,1.4558900053495696,-0.014453037283540193
2024-08-31,equal_weight,25,-0.06970728750795535,-0.06975675496429734,0.02126963080659705,1.3543318429914302,-0.08320159526755977
2024-09-30,equal_weight,25,0.0064911484526412495,0.00646514563623235,0.010334046732117519,1.3630877955961567,-0.07727436006189903
2024-10-31,equal_weight,25,-0.10950189114099645,-0.10959763678022405,0.04300767773682379,1.2136965944748528,-0.17840290959563487
2024-11-30,equal_weight,25,0.11405683146451635,0.11389021562884882,0.05982310092691745,1.3519247613275933,-0.08483103980944684
2024-12-31,equal_weight,25,0.02586694025227715,0.025735439371692648,0.05127404945996278,1.3867171390578297,-0.0612787645196079
2024-01-31,equal_weight,50,0.10756617241821159,0.1020283415561205,1.0,1.1020283415561205,0.0
2024-02-29,equal_weight,50,0.08475968178686875,0.08470891143021442,0.009360664395395457,1.195379962734584,0.0
2024-03-31,equal_weight,50,0.029691097058790798,0.029531766045994834,0.03094734202345717,1.2306816441301318,0.0
2024-04-30,equal_weight,50,0.1356749615801921,0.13533095388619576,0.0605820689253988,1.3972309649604944,0.0
2024-05-31,equal_weight,50,0.046616671922036154,0.04622238398568124,0.07534524280624005,1.4618143111395823,0.0
2024-06-30,equal_weight,50,0.00776061815807565,0.007391410629800976,0.07327286294426455,1.4726191809777345,0.0
2024-07-31,equal_weight,50,-0.0144449709521188,-0.014461103614961446,0.003273822844424623,1.4513234824162358,-0.014461103614961446
2024-08-31,equal_weight,50,-0.06970728750795535,-0.06980622242063927,0.02126963080659705,1.3500120725983913,-0.08325785102020677
2024-09-30,equal_weight,50,0.0064911484526412495,0.006439142819823385,0.010334046732117519,1.358704993142338,-0.0773548173939741
2024-10-31,equal_weight,50,-0.10950189114099645,-0.1096933824194517,0.04300767773682379,1.2096640467343571,-0.1785628882470418
2024-11-30,equal_weight,50,0.11405683146451635,0.11372359979318114,0.05982310092691745,1.3472313966693752,-0.08514610289478164
2024-12-31,equal_weight,50,0.02586694025227715,0.02560393849110798,0.05127404945996278,1.3817258264829875,-0.06172223998494919
